Compound,mp-id,log10_melt_temp_K,delta_T_vegard,melt_temp_K,melt_temp_C,coh_en,bulk_m,shear_m,form_e_per_atom,e_per_atom,density,%ic,M_ave,M_aveX,M_sd,M_sdX,M_harm,M_harmX,M_geo,M_geoX,M_quad,M_quadX,radius_ave,radius_aveX,radius_sd,radius_sdX,radius_harm,radius_harmX,radius_geo,radius_geoX,radius_quad,radius_quadX,atomic_num_ave,atomic_num_aveX,atomic_num_sd,atomic_num_sdX,atomic_num_harm,atomic_num_harmX,atomic_num_geo,atomic_num_geoX,atomic_num_quad,atomic_num_quadX,row_ave,row_aveX,row_sd,row_sdX,row_harm,row_harmX,row_geo,row_geoX,row_quad,row_quadX,group_ave,group_aveX,group_sd,group_sdX,group_harm,group_harmX,group_geo,group_geoX,group_quad,group_quadX,electro_ave,electro_aveX,electro_sd,electro_sdX,electro_harm,electro_harmX,electro_geo,electro_geoX,electro_quad,electro_quadX,vol_ave,vol_aveX,vol_sd,vol_sdX,vol_harm,vol_harmX,vol_geo,vol_geoX,vol_quad,vol_quadX,melt_temp_ave,melt_temp_aveX,melt_temp_sd,melt_temp_sdX,melt_temp_harm,melt_temp_harmX,melt_temp_geo,melt_temp_geoX,melt_temp_quad,melt_temp_quadX,compound_type
AlSb,mp-2624,3.1248790170112217,414.5250000000001,1333.15,1060.0,3.283296045,34.39407393,21.66376753,-0.159486403,-4.09677411,4.078412269,4.724739019678892,74.3707693,104.56729956955877,47.3892307,94.7784614,44.17423903044122,74.3707693,57.31729355034133,92.63825714753499,88.18588613044405,110.76203720267739,1.35,1.3574074074074072,0.09999999999999998,0.19999999999999996,1.3425925925925926,1.35,1.3462912017836262,1.3537121926823699,1.3536986370680884,1.36106575888162,32.0,43.28125,19.0,38.0,20.71875,32.0,25.748786379167466,38.63578383197309,37.21558813185679,45.902069670114,4.0,4.25,1.0,2.0,3.75,4.0,3.872983346207417,4.128352031623816,4.123105625617661,4.358898943540674,14.0,14.07142857142857,1.0,1.9999999999999991,13.928571428571429,14.0,13.96424004376894,14.035790387613345,14.035668847618199,14.106735979665885,1.83,1.8564480874316938,0.21999999999999986,0.43999999999999984,1.803551912568306,1.8300000000000003,1.816727827716634,1.843304210816737,1.8431766057543157,1.869251186973008,14.095,15.284714437743881,4.095000000000001,8.19,12.905285562256118,14.095,13.487030807409022,14.711628821297031,14.677808078865183,15.778976519407083,918.625,918.8648955232004,14.845000000000027,29.69000000000011,918.3851044767995,918.6249999999999,918.5050444063985,918.7449608147998,918.7449399316439,918.9847728335873,nitr_gr
AlAs,mp-2172,3.3038761354178527,1001.4150000000001,2013.15,1740.0,3.73659676,54.43146763,30.18497297,-0.484606655,-4.6866486,3.590699212,7.801377879468985,50.9515693,62.228206696111414,23.9700307,47.940061400000005,39.674931903888584,50.9515693,44.96109476395966,57.16998313213353,56.30830121653152,65.72480147866199,1.2,1.2020833333333334,0.050000000000000044,0.1000000000000002,1.1979166666666665,1.2,1.19895788082818,1.2010424207894406,1.2010412149464313,1.2031209415515964,23.0,27.34782608695652,10.0,19.999999999999996,18.652173913043477,23.0,20.712315177207977,25.361724105950863,25.079872407968907,28.792360097775937,3.5,3.571428571428571,0.5,1.0,3.428571428571429,3.5,3.4641016151377544,3.5360208609744515,3.5355339059327378,3.605551275463989,14.0,14.07142857142857,1.0,1.9999999999999991,13.928571428571429,14.0,13.96424004376894,14.035790387613345,14.035668847618199,14.106735979665885,1.895,1.9378627968337732,0.28500000000000003,0.5700000000000002,1.8521372031662269,1.895,1.873446022707887,1.9166355066410172,1.9163115613072945,1.9582390048204026,11.475,11.664596949891067,1.4749999999999996,2.95,11.285403050108933,11.475,11.379806676741042,11.570456111879487,11.569410097321297,11.755955937311095,1011.735,1017.789362283602,78.26499999999999,156.53000000000003,1005.680637716398,1011.735,1008.7032764891765,1014.7697499317276,1014.7576658739761,1020.7761463220033,nitr_gr
AlBr3,mp-23288,2.5689054149828787,-62.11750000000001,370.6,97.45,3.061638261,16.89302395,6.077907215,-1.117532313,-3.281621176,2.650775665,36.59484381419323,53.442769299999995,66.54457407789391,26.461230699999998,52.922461399999996,40.34096452210608,53.442769299999995,46.43202408138589,60.749884556372834,59.63494211124586,70.40397560457001,1.2,1.2020833333333334,0.050000000000000044,0.1000000000000002,1.1979166666666665,1.2,1.19895788082818,1.2010424207894406,1.2010412149464313,1.2031209415515964,24.0,29.041666666666664,11.0,22.0,18.958333333333332,24.0,21.330729007701542,26.765535714950992,26.40075756488817,30.643106892089126,3.5,3.571428571428571,0.5,1.0,3.428571428571429,3.5,3.4641016151377544,3.5360208609744515,3.5355339059327378,3.605551275463989,15.0,15.266666666666666,2.0,3.999999999999999,14.73333333333333,15.0,14.866068747318504,15.134329141738771,15.132745950421556,15.394804318340652,2.285,2.484398249452954,0.6749999999999999,1.35,2.085601750547046,2.285,2.1830254235807702,2.3884768370841654,2.3826141105936562,2.5667294364618956,14.89,16.49591672263264,4.890000000000001,9.780000000000001,13.284083277367362,14.89,14.064138793399332,15.730942131463925,15.67240249610761,17.130335665129277,599.635,785.4910744869796,333.83500000000004,667.6700000000001,413.7789255130204,599.635,498.1127643415696,706.6242000660125,686.3001824639128,833.0063354500974,hal
Al4C3,mp-1591,3.393250457726725,311.1671428571426,2473.15,2200.0,5.523124884,132.4796794,95.36451478,-0.092080557,-6.186739526,2.930804107,19.82031440330586,19.4961193,22.370101615896708,7.4854193,14.9708386,16.622136984103292,19.4961193,18.001865616180453,21.027874488243185,20.883729787962803,23.413525451120552,0.975,1.0525641025641026,0.275,0.55,0.8974358974358974,0.9749999999999999,0.9354143466934854,1.015116697366036,1.0130399794677405,1.0851267207105353,9.5,10.789473684210527,3.5,7.000000000000001,8.210526315789474,9.5,8.831760866327846,10.183656482601158,10.124228365658293,11.269427669584644,2.5,2.5999999999999996,0.5,0.9999999999999998,2.4000000000000004,2.5,2.4494897427831783,2.5508490012515814,2.5495097567963922,2.6457513110645907,13.5,13.518518518518517,0.5,1.0,13.481481481481481,13.5,13.49073756323204,13.509264554816033,13.509256086106296,13.527749258468683,2.08,2.186201923076923,0.46999999999999986,0.9399999999999996,1.973798076923077,2.08,2.0262033461624727,2.1342579310775984,2.13243991709028,2.2336293336182704,7.645,8.370444735120994,2.355,4.710000000000001,6.919555264879006,7.6450000000000005,7.273238618387272,8.022723265401693,7.999503109568743,8.665108193207976,2366.735,3234.702288363505,1433.2649999999999,2866.53,1498.767711636495,2366.735,1883.397462035032,2881.0462878824765,2766.8905147204505,3429.8950772436174,carb_gr
AlF3,mp-468,3.19400065495237,1289.6350000000002,1563.15,1290.0,5.464325558,116.1179212,52.99378507,-3.89204671,-5.893853268,3.021262156,75.44427103724891,22.9899709,23.68299538328385,3.991567700000001,7.983135400000001,22.29694641671615,22.9899709,22.640807169338363,23.340896765906475,23.33391040281354,24.007011477772416,0.875,1.0357142857142858,0.375,0.75,0.7142857142857143,0.875,0.7905694150420949,0.962083724258376,0.9519716382329886,1.0897247358851685,11.0,11.363636363636365,2.0,4.0,10.636363636363637,11.0,10.816653826391967,11.184361331500481,11.180339887498949,11.532562594670797,2.5,2.5999999999999996,0.5,0.9999999999999998,2.4000000000000004,2.5,2.4494897427831783,2.5508490012515814,2.5495097567963922,2.6457513110645907,15.0,15.266666666666666,2.0,3.999999999999999,14.73333333333333,15.0,14.866068747318504,15.134329141738771,15.132745950421556,15.394804318340652,2.795,3.297406082289803,1.185,2.37,2.292593917710197,2.795,2.5313632690706407,3.0667401176531706,3.0358277289727758,3.4676649203750927,10.6,10.633962264150943,0.5999999999999996,1.1999999999999993,10.566037735849058,10.6,10.583005244258363,10.617003835264619,10.616967551989598,10.650821564555478,493.5,885.7464050658562,439.97,879.94,101.25359493414389,493.50000000000006,223.5366840140562,799.4059457633551,661.147374569392,907.8893394571829,hal
