Compound,Melting point (K),Melting point (C),mp_id,Cohesive energy,Bulk modulus,Shear modulus,Formation energy per atom,Energy per atom,Density,El_1,El_2,Comp_1,Comp_2,M_1,M_2,rad_at_1,rad_at_2,atomic_num_1,atomic_num_2,row_1,row_2,group_1,group_2,eneg_1,eneg_2,vol_1,vol_2,melting_point_1,melting_point_2
AlSb,1333.15,1060,mp-2624,3.283296045,34.39407393,21.66376753,-0.159486403,-4.09677411,4.078412269,Al,Sb,1,1,26.9815386,121.76,1.25,1.45,13,51,3,5,13,15,1.61,2.05,10,18.19,933.47,903.78
AlAs,2013.15,1740,mp-2172,3.73659676,54.43146763,30.18497297,-0.484606655,-4.6866486,3.590699212,Al,As,1,1,26.9815386,74.9216,1.25,1.15,13,33,3,4,13,15,1.61,2.18,10,12.95,933.47,1090
AlBr3,370.6,97.45,mp-23288,3.061638261,16.89302395,6.077907215,-1.117532313,-3.281621176,2.650775665,Al,Br,4,12,26.9815386,79.904,1.25,1.15,13,35,3,4,13,17,1.61,2.96,10,19.78,933.47,265.8
Al4C3,2473.15,2200,mp-1591,5.523124884,132.4796794,95.36451478,-0.092080557,-6.186739526,2.930804107,Al,C,4,3,26.9815386,12.0107,1.25,0.7,13,6,3,2,13,14,1.61,2.55,10,5.29,933.47,3800
AlF3,1563.15,1290,mp-468,5.464325558,116.1179212,52.99378507,-3.89204671,-5.893853268,3.021262156,Al,F,2,6,26.9815386,18.9984032,1.25,0.5,13,9,3,2,13,17,1.61,3.98,10,11.2,933.47,53.53
