Compound,mp-id,log10_melt_temp_K,delta_T_vegard,melt_temp_K,melt_temp_C,coh_en,bulk_m,shear_m,form_e_per_atom,e_per_atom,density,%ic,M_ave,M_aveX,M_sd,M_sdX,M_harm,M_harmX,M_geo,M_geoX,M_quad,M_quadX,radius_ave,radius_aveX,radius_sd,radius_sdX,radius_harm,radius_harmX,radius_geo,radius_geoX,radius_quad,radius_quadX,atomic_num_ave,atomic_num_aveX,atomic_num_sd,atomic_num_sdX,atomic_num_harm,atomic_num_harmX,atomic_num_geo,atomic_num_geoX,atomic_num_quad,atomic_num_quadX,row_ave,row_aveX,row_sd,row_sdX,row_harm,row_harmX,row_geo,row_geoX,row_quad,row_quadX,group_ave,group_aveX,group_sd,group_sdX,group_harm,group_harmX,group_geo,group_geoX,group_quad,group_quadX,electro_ave,electro_aveX,electro_sd,electro_sdX,electro_harm,electro_harmX,electro_geo,electro_geoX,electro_quad,electro_quadX,vol_ave,vol_aveX,vol_sd,vol_sdX,vol_harm,vol_harmX,vol_geo,vol_geoX,vol_quad,vol_quadX,melt_temp_ave,melt_temp_aveX,melt_temp_sd,melt_temp_sdX,melt_temp_harm,melt_temp_harmX,melt_temp_geo,melt_temp_geoX,melt_temp_quad,melt_temp_quadX,compound_type
AgF,mp-7592,2.850125259,63.92,708.15,435.0,2.955254135,76.62580896,16.40322684,-1.24851925,-3.375058845,6.624220956,65.02808936,63.4333016,63.4333016,44.4348984,44.4348984,32.30674589,32.30674589,45.269455,45.269455,77.44833083,77.44833083,1.05,1.05,0.55,0.55,0.761904762,0.761904762,0.894427191,0.894427191,1.185326959,1.185326959,28.0,28.0,19.0,19.0,15.10714286,15.10714286,20.5669638,20.5669638,33.83784863,33.83784863,3.5,3.5,1.5,1.5,2.857142857,2.857142857,3.16227766,3.16227766,3.807886553,3.807886553,14.0,14.0,3.0,3.0,13.35714286,13.35714286,13.67479433,13.67479433,14.31782106,14.31782106,2.955,2.955,1.025,1.025,2.599458545,2.599458545,2.771533871,2.771533871,3.127722814,3.127722814,10.735,10.735,0.465,0.465,10.71485794,10.71485794,10.72492424,10.72492424,10.74506631,10.74506631,644.23,644.23,590.7,590.7,102.6121151,102.6121151,257.1104877,257.1104877,874.0473574,874.0473574,hal
Al2O3,mp-1143,3.370170626,1938.882,2345.15,2072.0,6.896132591,212.301061,136.3709057,-3.43572833,-7.481357943,3.873498339,56.70898161,21.4904693,20.39225544,5.4910693,1.19297544,20.08743609,19.11082756,20.7771131,19.71918231,22.18089522,21.0900415,0.925,0.86,0.325,0.14,0.810810811,0.757575758,0.866025404,0.804738456,0.980433578,0.917060521,10.5,10.0,2.5,0.4,9.904761905,9.454545455,10.19803903,9.714743383,10.79351657,10.29563014,2.5,2.4,0.5,2.22e-16,2.4,2.307692308,2.449489743,2.352158045,2.549509757,2.449489743,14.5,14.8,1.5,4.4,14.34482759,14.64788732,14.4222051,14.72479749,14.57737974,14.87279395,2.525,2.708,0.915,1.42,2.193425743,2.364816396,2.353380547,2.539015873,2.685674962,2.852542725,13.68,14.416,3.68,6.416,12.69005848,13.41161928,13.17573527,13.92290412,14.16632627,14.86007268,494.135,406.268,439.335,340.508,103.5226325,87.89343679,226.1728454,170.3367988,661.1993954,591.9022895,ox
AlBr3,mp-23288,2.568905415,-62.1175,370.6,97.45,3.061638261,16.89302395,6.077907215,-1.117532313,-3.281621176,2.650775665,36.59484381,53.4427693,66.67338465,26.4612307,53.18261535,40.34096452,53.61396117,46.43202408,60.91062676,59.63494211,70.50168628,1.2,1.175,0.05,0.55,1.197916667,1.173469388,1.198957881,1.174223813,1.201041215,1.175797602,24.0,29.5,11.0,23.0,18.95833333,24.59459459,21.33072901,27.32353409,26.40075756,31.0,3.5,3.75,0.5,2.25,3.428571429,3.692307692,3.464101615,3.722419436,3.535533906,3.774917218,15.0,16.0,2.0,9.5,14.73333333,15.78571429,14.86606875,15.89726922,15.13274595,16.09347694,2.285,2.6225,0.675,1.8175,2.085601751,2.44703466,2.183025424,2.54199828,2.382614111,2.686861552,14.89,17.335,4.89,12.335,13.28408328,15.89393331,14.06413879,16.67898874,15.6724025,17.84478355,599.635,432.7175,333.835,34.0175,413.7789255,323.6781903,498.1127643,363.8658719,686.3001825,520.412135,hal
AlCl3,mp-25469,2.667966331,103.4825,465.55,192.4,3.579945929,40.23800065,12.78542212,-1.951326074,-3.828108264,2.215248919,45.1531264,31.2172693,33.33513465,4.2357307,19.84436535,30.64254207,32.87271759,30.92857074,33.11360171,31.50332232,33.53635733,1.125,1.0625,0.125,0.4375,1.111111111,1.052631579,1.118033989,1.057371263,1.131923142,1.068000468,15.0,16.0,2.0,9.5,14.73333333,15.78571429,14.86606875,15.89726922,15.13274595,16.09347694,3.0,3.0,0.0,1.5,3.0,3.0,3.0,3.0,3.0,3.0,15.0,16.0,2.0,9.5,14.73333333,15.78571429,14.86606875,15.89726922,15.13274595,16.09347694,2.385,2.7725,0.775,1.9675,2.133165618,2.54698373,2.255570881,2.669757289,2.507757963,2.852582164,13.695,15.5425,3.695,10.5425,12.69806499,14.67820215,13.18711492,15.14344507,14.18471184,15.86849315,552.535,362.0675,380.935,104.6675,289.9064349,215.589385,400.2292493,262.0674325,671.1232379,489.822907,hal
AlF3,mp-468,3.194000655,1289.635,1563.15,1290.0,5.464325558,116.1179212,52.99378507,-3.89204671,-5.893853268,3.021262156,75.44427104,22.9899709,20.99418705,3.9915677,7.50341775,22.29694642,20.51593616,22.64080717,20.73979709,23.3339104,21.27687358,0.875,0.6875,0.375,0.0625,0.714285714,0.588235294,0.790569415,0.628716715,0.951971638,0.760345316,11.0,10.0,2.0,3.5,10.63636364,9.75,10.81665383,9.866604504,11.18033989,10.14889157,2.5,2.25,0.5,0.75,2.4,2.181818182,2.449489743,2.213363839,2.549509757,2.291287847,15.0,16.0,2.0,9.5,14.73333333,15.78571429,14.86606875,15.89726922,15.13274595,16.09347694,2.795,3.3875,1.185,2.5825,2.292593918,2.909330306,2.531363269,3.17408661,3.035827729,3.539537399,10.6,10.9,0.6,5.9,10.56603774,10.87378641,10.58300524,10.88713271,10.61696755,10.91237829,493.5,273.515,439.97,193.22,101.2535949,70.03461755,223.536684,109.3888417,661.1473746,469.031615,hal
AlI3,mp-30930,2.666658355,-59.355,464.15,191.0,2.554454596,9.902525985,5.551963704,-0.67092898,-2.750329736,3.204476226,24.0902461,76.9430043,101.9237372,49.9614657,88.43296785,44.50148375,65.89546146,58.51562061,86.17362602,91.74079772,110.7274096,1.325,1.3625,0.075,0.7375,1.320754717,1.359223301,1.322875656,1.360891589,1.327120944,1.364047287,33.0,43.0,20.0,36.5,20.87878788,29.95652174,26.2488095,37.29861798,38.58756276,46.35730795,4.0,4.5,1.0,3.0,3.75,4.285714286,3.872983346,4.400558684,4.123105626,4.582575695,15.0,16.0,2.0,9.5,14.73333333,15.78571429,14.86606875,15.89726922,15.13274595,16.09347694,2.135,2.3975,0.525,1.5925,2.005901639,2.287102804,2.06944437,2.346214403,2.198601828,2.440230522,17.86,21.79,7.86,16.79,14.40089586,18.46374731,16.03745616,20.30968666,19.51305204,22.82846469,660.16,523.505,273.31,56.77,547.0081033,453.1953709,600.9266756,482.1498569,714.4995323,574.5269812,hal
As2O3,mp-1581,2.768008769,117.27,586.15,313.0,4.877110971,55.81198605,23.20258665,-1.638504274,-6.049306779,3.467561761,32.75987376,45.4605,39.56828,29.4611,20.369,26.36796003,23.34249572,34.62225653,29.66914528,54.17207282,48.97843341,0.875,0.82,0.275,0.1,0.788571429,0.741935484,0.830662386,0.778340961,0.917196816,0.863133825,20.5,18.0,12.5,8.4,12.87804878,11.47826087,16.24807681,14.10131351,24.01041441,21.77154106,3.0,2.8,1.0,0.4,2.666666667,2.5,2.828427125,2.639015822,3.16227766,2.966479395,15.5,15.6,0.5,3.6,15.48387097,15.58441558,15.49193338,15.59223936,15.50806242,15.60769041,2.81,2.936,0.63,1.192,2.668754448,2.794038748,2.738466724,2.866273728,2.879756934,3.000186661,15.155,15.596,2.205,5.236,14.83418014,15.27878211,14.99373202,15.43966027,15.31456986,15.74492807,572.4,468.88,517.6,403.12,104.3535989,88.3714049,244.4013093,181.2336905,771.7198455,690.682144,mix
AsBr3,mp-23317,2.483230587,-167.6,304.25,31.1,2.268214471,10.34385965,4.531002107,-0.462732001,-2.855053921,3.02408136,14.10976138,77.4128,78.6584,2.4912,41.1976,77.33263138,78.59729026,77.37270531,78.62816699,77.45287394,78.6879816,1.15,1.15,0.0,0.575,1.15,1.15,1.15,1.15,1.15,1.15,34.0,34.5,1.0,18.0,33.97058824,34.47761194,33.98529094,34.48891391,34.0147027,34.51086785,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.5,1.0,9.0,15.9375,16.4516129,15.96871942,16.47629297,16.03121954,16.52271164,2.57,2.765,0.39,1.675,2.510817121,2.716968421,2.540236209,2.742097588,2.599423013,2.78555201,16.365,18.0725,3.415,11.5975,15.65236786,17.47576326,16.00471805,17.7925075,16.71751925,18.31288959,677.9,471.85,412.1,73.15,427.3816197,327.7583574,538.2583023,378.2447049,793.3314692,591.6183145,mix
BaBr2,mp-27456,3.053136089,619.6166667,1130.15,857.0,3.796893891,28.6071801,11.04143035,-2.224728698,-3.955670001,4.585943633,65.74114108,108.6155,99.045,28.7115,7.493666667,101.0258813,92.84497832,104.7519766,95.71154454,112.3462375,102.6774941,1.65,1.483333333,0.5,0.05,1.498484848,1.361009174,1.572418519,1.416700499,1.724093965,1.556438242,45.5,42.0,10.5,4.666666667,43.07692308,40.0,44.27188724,40.93624833,46.69582422,43.15089802,5.0,4.666666667,1.0,0.666666667,4.8,4.5,4.898979486,4.57885697,5.099019514,4.760952286,9.5,12.0,7.5,10.66666667,3.578947368,4.857142857,5.830951895,8.329954186,12.10371844,13.92838828,1.925,2.27,1.035,1.676666667,1.368519481,1.667341772,1.623083485,1.983008046,2.185600604,2.470850056,28.97,25.90666667,9.19,0.466666667,26.05470487,23.5631051,27.47371107,24.62371902,30.39271294,27.31716432,632.9,510.5333333,367.1,156.1333333,419.9715595,351.9286786,515.5579502,413.3995356,731.6589506,616.7925853,hal
BaCl2,mp-568662,3.091015907,785.4166667,1233.15,960.0,4.2470927,31.68348387,11.28988916,-2.955359589,-4.430917183,3.394161727,72.42401774,86.39,69.411,50.937,22.14033333,56.35668632,47.09975071,69.77574171,55.67847154,100.2886338,84.40484849,1.575,1.383333333,0.575,0.05,1.365079365,1.216981132,1.46628783,1.290662881,1.676678264,1.485765796,36.5,30.0,19.5,7.333333333,26.08219178,22.13953488,30.85449724,25.29464702,41.38236339,35.18522417,4.5,4.0,1.5,0.0,4.0,3.6,4.242640687,3.77976315,4.74341649,4.242640687,9.5,12.0,7.5,10.66666667,3.578947368,4.857142857,5.830951895,8.329954186,12.10371844,13.92838828,2.025,2.403333333,1.135,1.81,1.388839506,1.707935223,1.677021169,2.071355892,2.32138967,2.630798358,27.775,24.31333333,10.385,1.126666667,23.89207561,21.24434105,25.76048136,22.59795694,29.65297371,26.21074716,585.8,447.7333333,414.2,218.9333333,292.9327416,237.0602321,414.2463035,308.800638,717.4421789,594.1080485,hal
