Compound,mp-id,log10_melt_temp_K,delta_T_vegard,melt_temp_K,melt_temp_C,coh_en,bulk_m,shear_m,form_e_per_atom,e_per_atom,density,%ic,M_ave,M_aveX,M_sd,M_sdX,M_harm,M_harmX,M_geo,M_geoX,M_quad,M_quadX,radius_ave,radius_aveX,radius_sd,radius_sdX,radius_harm,radius_harmX,radius_geo,radius_geoX,radius_quad,radius_quadX,atomic_num_ave,atomic_num_aveX,atomic_num_sd,atomic_num_sdX,atomic_num_harm,atomic_num_harmX,atomic_num_geo,atomic_num_geoX,atomic_num_quad,atomic_num_quadX,row_ave,row_aveX,row_sd,row_sdX,row_harm,row_harmX,row_geo,row_geoX,row_quad,row_quadX,group_ave,group_aveX,group_sd,group_sdX,group_harm,group_harmX,group_geo,group_geoX,group_quad,group_quadX,electro_ave,electro_aveX,electro_sd,electro_sdX,electro_harm,electro_harmX,electro_geo,electro_geoX,electro_quad,electro_quadX,vol_ave,vol_aveX,vol_sd,vol_sdX,vol_harm,vol_harmX,vol_geo,vol_geoX,vol_quad,vol_quadX,melt_temp_ave,melt_temp_aveX,melt_temp_sd,melt_temp_sdX,melt_temp_harm,melt_temp_harmX,melt_temp_geo,melt_temp_geoX,melt_temp_quad,melt_temp_quadX,compound_type
Na2O,mp-2352,3.147722688,1139.636667,1405.15,1132.0,3.310850267,46.78043873,26.36521569,-1.450312134,-3.740349293,2.350349561,79.29976224,19.49458464,20.65964619,3.49518464,9.99337952,18.86793289,20.06721685,19.1786995,20.37312457,19.80543223,20.92080132,1.2,1.4,0.6,1.0,0.9,1.08,1.039230485,1.248050294,1.341640786,1.509966887,9.5,10.0,1.5,4.666666667,9.263157895,9.777777778,9.38083152,9.892174886,9.617692031,10.09950494,2.5,2.666666667,0.5,1.333333333,2.4,2.571428571,2.449489743,2.620741394,2.549509757,2.708012802,8.5,6.0,7.5,4.666666667,1.882352941,1.454545455,4.0,2.5198421,11.33578405,9.273618495,2.185,1.766666667,1.255,0.526666667,1.46416476,1.228886044,1.788630761,1.438273394,2.519771815,2.126295683,20.57,21.64,3.21,10.06666667,20.06907146,21.17029744,20.31799203,21.41202822,20.81895771,21.85060182,212.835,265.5133333,158.035,228.98,95.4902906,126.89872,142.5611307,196.0685734,265.0920566,304.4624519,ox
Na2S,mp-648,3.161113341,1072.45,1449.15,1176.0,3.09592106,27.95026679,20.9017368,-1.291645411,-3.324124037,1.826998383,49.36995443,27.52738464,26.01484619,4.53761536,4.63817952,26.77940391,25.38460414,27.15081862,25.68621756,27.8988684,26.36426374,1.4,1.533333333,0.4,0.866666667,1.285714286,1.421052632,1.341640786,1.479727245,1.456021978,1.579029238,13.5,12.66666667,2.5,2.0,13.03703704,12.27906977,13.26649916,12.46335937,13.72953022,12.88409873,3.0,3.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,8.5,6.0,7.5,4.666666667,1.882352941,1.454545455,4.0,2.5198421,11.33578405,9.273618495,1.755,1.48,0.825,0.24,1.367179487,1.181970443,1.548999677,1.306758101,1.939239542,1.671944975,19.655,21.03,4.125,10.67666667,18.78928517,20.202593,19.21726828,20.63154345,20.08319322,21.38658224,379.615,376.7,8.745,117.7933333,379.4135458,376.5222942,379.5142595,376.6106817,379.7157137,376.7902172,chalc
NaBr,mp-22916,3.008664034,701.815,1020.15,747.0,2.83231429,29.7746269,13.08293031,-1.582675168,-3.05724994,3.120798709,64.3073357,51.44688464,51.44688464,28.45711536,28.45711536,35.70623445,35.70623445,42.85994079,42.85994079,58.79276617,58.79276617,1.475,1.475,0.325,0.325,1.403389831,1.403389831,1.438749457,1.438749457,1.510380747,1.510380747,23.0,23.0,12.0,12.0,16.73913043,16.73913043,19.62141687,19.62141687,25.94224354,25.94224354,3.5,3.5,0.5,0.5,3.428571429,3.428571429,3.464101615,3.464101615,3.535533906,3.535533906,9.0,9.0,8.0,8.0,1.888888889,1.888888889,4.123105626,4.123105626,12.04159458,12.04159458,1.945,1.945,1.015,1.015,1.415321337,1.415321337,1.659156412,1.659156412,2.193912031,2.193912031,21.78,21.78,2.0,2.0,21.59634527,21.59634527,21.68797824,21.68797824,21.8716346,21.8716346,318.335,318.335,52.535,52.535,309.6651201,309.6651201,313.9701355,313.9701355,322.6408196,322.6408196,hal
NaH,mp-23870,3.03066043,880.71,1073.15,800.0,1.870421295,29.02903484,15.80224923,-0.266717282,-2.542697115,1.417181192,33.1838254,11.99885464,11.99885464,10.99091464,10.99091464,1.931209998,1.931209998,4.813762359,4.813762359,16.27183817,16.27183817,1.025,1.025,0.775,0.775,0.43902439,0.43902439,0.670820393,0.670820393,1.285009728,1.285009728,6.0,6.0,5.0,5.0,1.833333333,1.833333333,3.31662479,3.31662479,7.810249676,7.810249676,2.0,2.0,1.0,1.0,1.5,1.5,1.732050808,1.732050808,2.236067977,2.236067977,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.565,1.565,0.635,0.635,1.307348243,1.307348243,1.430384564,1.430384564,1.688919773,1.688919773,17.6,17.6,6.18,6.18,15.42997727,15.42997727,16.47930824,16.47930824,18.65348225,18.65348225,192.44,192.44,178.43,178.43,27.00004521,27.00004521,72.08251314,72.08251314,262.4317406,262.4317406,hyd
NaI,mp-23268,2.96995146,554.29,933.15,660.0,2.48454531,22.32556559,10.94669559,-1.275293075,-2.69340911,3.572368908,52.67942521,74.94711964,74.94711964,51.95735036,51.95735036,38.92750649,38.92750649,54.01392863,54.01392863,91.19559747,91.19559747,1.6,1.6,0.2,0.2,1.575,1.575,1.587450787,1.587450787,1.61245155,1.61245155,32.0,32.0,21.0,21.0,18.21875,18.21875,24.14539294,24.14539294,38.27531842,38.27531842,4.0,4.0,1.0,1.0,3.75,3.75,3.872983346,3.872983346,4.123105626,4.123105626,9.0,9.0,8.0,8.0,1.888888889,1.888888889,4.123105626,4.123105626,12.04159458,12.04159458,1.795,1.795,0.865,0.865,1.37816156,1.37816156,1.572831841,1.572831841,1.992548619,1.992548619,24.75,24.75,0.97,0.97,24.71198384,24.71198384,24.73098461,24.73098461,24.76900079,24.76900079,378.86,378.86,7.99,7.99,378.6914942,378.6914942,378.7757377,378.7757377,378.9442435,378.9442435,hal
Nb2C,mp-569989,3.588960428,781.15,3881.15,3608.0,7.767800692,207.9648462,126.3935466,-0.466661755,-10.27645506,7.67375624,20.19826979,52.45854,65.94115333,40.44784,57.93402,21.27147759,28.6297403,33.40465025,46.97712836,66.24142344,76.17402839,1.075,1.2,0.375,0.733333333,0.944186047,1.068421053,1.007472084,1.137482389,1.138529754,1.2509996,23.5,29.33333333,17.5,25.33333333,10.46808511,13.9245283,15.68438714,21.60593116,29.30017065,33.65511353,3.5,4.0,1.5,2.666666667,2.857142857,3.333333333,3.16227766,3.684031499,3.807886553,4.242640687,9.5,8.0,4.5,1.333333333,7.368421053,6.363636364,8.366600265,7.047298732,10.51189802,9.055385138,2.075,1.916666667,0.475,0.216666667,1.96626506,1.826865672,2.019900988,1.868931491,2.128673296,1.96829029,8.06,8.983333333,2.77,5.456666667,7.108027295,8.027655301,7.569062029,8.529119418,8.52270497,9.3552463,3275.0,3100.0,525.0,566.6666667,3190.839695,3028.985507,3232.645975,3063.018793,3316.81323,3139.26743,carb_gr
NbB,mp-2580,3.405371976,-6.35,2543.15,2270.0,7.458900013,244.3345723,156.3859878,-0.769342252,-9.159690093,7.429359441,4.72473902,51.85869,51.85869,41.04769,41.04769,19.36822689,19.36822689,31.69244191,31.69244191,66.13801163,66.13801163,1.15,1.15,0.3,0.3,1.07173913,1.07173913,1.110180166,1.110180166,1.188486432,1.188486432,23.0,23.0,18.0,18.0,8.913043478,8.913043478,14.31782106,14.31782106,29.20616373,29.20616373,3.5,3.5,1.5,1.5,2.857142857,2.857142857,3.16227766,3.16227766,3.807886553,3.807886553,9.0,9.0,4.0,4.0,7.222222222,7.222222222,8.062257748,8.062257748,9.848857802,9.848857802,1.82,1.82,0.22,0.22,1.793406593,1.793406593,1.806654367,1.806654367,1.833248483,1.833248483,7.61,7.61,3.22,3.22,6.247529566,6.247529566,6.895193978,6.895193978,8.263201559,8.263201559,2549.5,2549.5,200.5,200.5,2533.732104,2533.732104,2541.603824,2541.603824,2557.371795,2557.371795,bor
NbB2,mp-450,3.521549945,840.4833333,3323.15,3050.0,7.29048927,280.0566665,199.1050541,-0.693850499,-8.513879273,6.793798027,4.72473902,51.85869,38.17612667,41.04769,23.76146,19.36822689,15.32486523,31.69244191,22.1441539,66.13801163,54.3609875,1.15,1.05,0.3,0.083333333,1.07173913,0.986,1.110180166,1.015629448,1.188486432,1.087428159,23.0,17.0,18.0,10.33333333,8.913043478,7.068965517,14.31782106,10.08264838,29.20616373,24.0208243,3.5,3.0,1.5,0.333333333,2.857142857,2.5,3.16227766,2.714417617,3.807886553,3.31662479,9.0,10.33333333,4.0,7.0,7.222222222,8.47826087,8.062257748,9.454071946,9.848857802,11.0,1.82,1.893333333,0.22,0.826666667,1.793406593,1.86870229,1.806654367,1.881308882,1.833248483,1.90466095,7.61,6.536666667,3.22,0.683333333,6.247529566,5.47528215,6.895193978,5.931790886,8.263201559,7.207244041,2549.5,2482.666667,200.5,649.3333333,2533.732104,2469.008791,2541.603824,2475.708888,2557.371795,2489.852874,bor
NbC,mp-910,3.576704071,498.15,3773.15,3500.0,7.926680675,263.4455819,169.547977,-0.459129635,-10.12316707,7.616098778,20.19826979,52.45854,52.45854,40.44784,40.44784,21.27147759,21.27147759,33.40465025,33.40465025,66.24142344,66.24142344,1.075,1.075,0.375,0.375,0.944186047,0.944186047,1.007472084,1.007472084,1.138529754,1.138529754,23.5,23.5,17.5,17.5,10.46808511,10.46808511,15.68438714,15.68438714,29.30017065,29.30017065,3.5,3.5,1.5,1.5,2.857142857,2.857142857,3.16227766,3.16227766,3.807886553,3.807886553,9.5,9.5,4.5,4.5,7.368421053,7.368421053,8.366600265,8.366600265,10.51189802,10.51189802,2.075,2.075,0.475,0.475,1.96626506,1.96626506,2.019900988,2.019900988,2.128673296,2.128673296,8.06,8.06,2.77,2.77,7.108027295,7.108027295,7.569062029,7.569062029,8.52270497,8.52270497,3275.0,3275.0,525.0,525.0,3190.839695,3190.839695,3232.645975,3232.645975,3316.81323,3316.81323,carb_gr
NbN,mp-2634,3.454562858,1441.625,2848.15,2575.0,7.164235705,256.8355979,138.0508198,-1.259710521,-10.28659914,7.984187333,40.45274578,53.45654,53.45654,39.44984,39.44984,24.34335991,24.34335991,36.07369946,36.07369946,66.43712475,66.43712475,1.05,1.05,0.4,0.4,0.897619048,0.897619048,0.970824392,0.970824392,1.123610253,1.123610253,24.0,24.0,17.0,17.0,11.95833333,11.95833333,16.94107435,16.94107435,29.41088234,29.41088234,3.5,3.5,1.5,1.5,2.857142857,2.857142857,3.16227766,3.16227766,3.807886553,3.807886553,10.0,10.0,5.0,5.0,7.5,7.5,8.660254038,8.660254038,11.18033989,11.18033989,2.32,2.32,0.72,0.72,2.096551724,2.096551724,2.2054478,2.2054478,2.429156232,2.429156232,12.185,12.185,1.355,1.355,12.03432089,12.03432089,12.10942608,12.10942608,12.26010807,12.26010807,1406.525,1406.525,1343.475,1343.475,123.2736709,123.2736709,416.3982469,416.3982469,1945.054665,1945.054665,nitr_gr
